,Y1_t,Y1_t-1,X1_t,X1_t-1,X2_t,X2_t-1,X3_t,X3_t-1,X4_t,X4_t-1
Y1_t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1_t-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X1_t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X1_t-1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
X2_t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X2_t-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
X3_t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X3_t-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X4_t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X4_t-1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
